loc_id : (28319,) | plant_code : 1571 | R2 : 0.9661 | date_att: 2018-11-06
loc_id : (434901,) | plant_code : 1572 | R2 : 0.9667 | date_att: 2018-11-06
loc_id : (23886,) | plant_code : 3631 | R2 : 0.6609 | date_att: 2018-11-06
loc_id : (83542,) | plant_code : 54844 | R2 : 0.9510 | date_att: 2018-11-06
loc_id : (27002,) | plant_code : 1599 | R2 : 0.9567 | date_att: 2018-11-06
loc_id : (26955,) | plant_code : 1619 | R2 : 0.9905 | date_att: 2018-11-06
loc_id : (434905,) | plant_code : 7784 | R2 : 0.8650 | date_att: 2018-11-06
loc_id : (428352, 447306) | plant_code : 56964 | R2 : 0.6809 | date_att: 2018-11-06
loc_id : (80711,) | plant_code : 7813 | R2 : 0.6338 | date_att: 2018-11-06
loc_id : (27007,) | plant_code : 1682 | R2 : 0.9463 | date_att: 2018-11-06
loc_id : (23693,) | plant_code : 7826 | R2 : 0.9772 | date_att: 2018-11-06
loc_id : (80729,) | plant_code : 7829 | R2 : 0.7641 | date_att: 2018-11-06
loc_id : (23700,) | plant_code : 7834 | R2 : 0.9929 | date_att: 2018-11-06
loc_id : (428214, 130695) | plant_code : 7835 | R2 : 0.7038 | date_att: 2018-11-06
loc_id : (23977,) | plant_code : 7836 | R2 : 0.5829 | date_att: 2018-11-06
loc_id : (23673,) | plant_code : 7838 | R2 : 0.7590 | date_att: 2018-11-06
loc_id : (21415,) | plant_code : 7843 | R2 : 0.8824 | date_att: 2018-11-06
loc_id : (445366,) | plant_code : 3775 | R2 : 0.8704 | date_att: 2018-11-06
loc_id : (59983,) | plant_code : 7872 | R2 : 0.5032 | date_att: 2018-11-06
loc_id : (407986,) | plant_code : 57028 | R2 : 0.8757 | date_att: 2018-11-06
loc_id : (428696,) | plant_code : 57029 | R2 : 0.7311 | date_att: 2018-11-06
loc_id : (21423,) | plant_code : 7887 | R2 : 0.9743 | date_att: 2018-11-06
loc_id : (80641,) | plant_code : 7897 | R2 : 0.9845 | date_att: 2018-11-06
loc_id : (28328,) | plant_code : 3804 | R2 : 0.9533 | date_att: 2018-11-06
loc_id : (21345,) | plant_code : 55010 | R2 : 0.7863 | date_att: 2018-11-06
loc_id : (21344,) | plant_code : 55011 | R2 : 0.9323 | date_att: 2018-11-06
loc_id : (80707,) | plant_code : 7916 | R2 : 0.7850 | date_att: 2018-11-06
loc_id : (428619,) | plant_code : 7917 | R2 : 0.9694 | date_att: 2018-11-06
loc_id : (27010,) | plant_code : 55026 | R2 : 0.8449 | date_att: 2018-11-06
loc_id : (68136,) | plant_code : 7925 | R2 : 0.9085 | date_att: 2018-11-06
loc_id : (86201,) | plant_code : 7929 | R2 : 0.8825 | date_att: 2018-11-06
loc_id : (28664,) | plant_code : 7931 | R2 : 0.9873 | date_att: 2018-11-06
loc_id : (80724,) | plant_code : 55040 | R2 : 0.8889 | date_att: 2018-11-06
loc_id : (82484,) | plant_code : 55042 | R2 : 0.9571 | date_att: 2018-11-06
loc_id : (29883, 29885) | plant_code : 3845 | R2 : 1.0000 | date_att: 2018-11-06
loc_id : (428623,) | plant_code : 7946 | R2 : 0.9952 | date_att: 2018-11-06
loc_id : (60046,) | plant_code : 7948 | R2 : 0.7125 | date_att: 2018-11-06
loc_id : (23694,) | plant_code : 55061 | R2 : 0.9954 | date_att: 2018-11-06
loc_id : (131267,) | plant_code : 50966 | R2 : 0.9138 | date_att: 2018-11-06
loc_id : (62714,) | plant_code : 7960 | R2 : 0.6218 | date_att: 2018-11-06
loc_id : (29144,) | plant_code : 55068 | R2 : 0.9910 | date_att: 2018-11-06
loc_id : (84241,) | plant_code : 7964 | R2 : 0.6881 | date_att: 2018-11-06
loc_id : (22911,) | plant_code : 55075 | R2 : 0.9585 | date_att: 2018-11-06
loc_id : (62664,) | plant_code : 55079 | R2 : 0.9838 | date_att: 2018-11-06
loc_id : (59922,) | plant_code : 55081 | R2 : 0.7783 | date_att: 2018-11-06
loc_id : (59951,) | plant_code : 55087 | R2 : 0.9619 | date_att: 2018-11-06
loc_id : (32021,) | plant_code : 55100 | R2 : 0.9773 | date_att: 2018-11-06
loc_id : (28645,) | plant_code : 55103 | R2 : 0.9887 | date_att: 2018-11-06
loc_id : (29895,) | plant_code : 7999 | R2 : 0.9982 | date_att: 2018-11-06
loc_id : (62703,) | plant_code : 55107 | R2 : 0.9711 | date_att: 2018-11-06
loc_id : (82347,) | plant_code : 55111 | R2 : 0.8138 | date_att: 2018-11-06
loc_id : (445609,) | plant_code : 59220 | R2 : 0.9540 | date_att: 2018-11-06
loc_id : (82488,) | plant_code : 55126 | R2 : 0.9785 | date_att: 2018-11-06
loc_id : (21459,) | plant_code : 8027 | R2 : 0.8887 | date_att: 2018-11-06
loc_id : (408303,) | plant_code : 55141 | R2 : 0.7501 | date_att: 2018-11-06
loc_id : (27012,) | plant_code : 55149 | R2 : 0.6189 | date_att: 2018-11-06
loc_id : (21521,) | plant_code : 1904 | R2 : 0.8129 | date_att: 2018-11-06
loc_id : (62708,) | plant_code : 55170 | R2 : 0.9862 | date_att: 2018-11-06
loc_id : (428542,) | plant_code : 1927 | R2 : 0.9572 | date_att: 2018-11-06
loc_id : (28662,) | plant_code : 55179 | R2 : 0.9816 | date_att: 2018-11-06
loc_id : (441626,) | plant_code : 55183 | R2 : 0.9916 | date_att: 2018-11-06
loc_id : (59988,) | plant_code : 6035 | R2 : 0.8240 | date_att: 2018-11-06
loc_id : (125257,) | plant_code : 55192 | R2 : 0.7245 | date_att: 2018-11-06
loc_id : (62752,) | plant_code : 55197 | R2 : 0.9657 | date_att: 2018-11-06
loc_id : (62701,) | plant_code : 55198 | R2 : 0.8584 | date_att: 2018-11-06
loc_id : (442813,) | plant_code : 6055 | R2 : 0.9251 | date_att: 2018-11-06
loc_id : (27009,) | plant_code : 55211 | R2 : 0.9183 | date_att: 2018-11-06
loc_id : (62673,) | plant_code : 55212 | R2 : 0.9941 | date_att: 2018-11-06
loc_id : (30576,) | plant_code : 55218 | R2 : 0.9149 | date_att: 2018-11-06
loc_id : (68182,) | plant_code : 55222 | R2 : 0.7842 | date_att: 2018-11-06
loc_id : (82335,) | plant_code : 55224 | R2 : 0.5665 | date_att: 2018-11-06
loc_id : (85958,) | plant_code : 6074 | R2 : 0.9820 | date_att: 2018-11-06
loc_id : (84227,) | plant_code : 55228 | R2 : 0.7106 | date_att: 2018-11-06
loc_id : (84237,) | plant_code : 55229 | R2 : 0.9904 | date_att: 2018-11-06
loc_id : (30622,) | plant_code : 55231 | R2 : 0.8779 | date_att: 2018-11-06
loc_id : (403882,) | plant_code : 55232 | R2 : 0.9240 | date_att: 2018-11-06
loc_id : (84623,) | plant_code : 55237 | R2 : 0.6826 | date_att: 2018-11-06
loc_id : (60029,) | plant_code : 4040 | R2 : 0.9665 | date_att: 2018-11-06
loc_id : (82720,) | plant_code : 6089 | R2 : 0.6217 | date_att: 2018-11-06
loc_id : (24746,) | plant_code : 55242 | R2 : 0.9985 | date_att: 2018-11-06
loc_id : (23679,) | plant_code : 55244 | R2 : 0.9080 | date_att: 2018-11-06
loc_id : (59950,) | plant_code : 55250 | R2 : 0.6912 | date_att: 2018-11-06
loc_id : (59941,) | plant_code : 55251 | R2 : 0.7022 | date_att: 2018-11-06
loc_id : (80727,) | plant_code : 55267 | R2 : 0.8657 | date_att: 2018-11-06
loc_id : (144312,) | plant_code : 55270 | R2 : 0.9866 | date_att: 2018-11-06
loc_id : (23721,) | plant_code : 55271 | R2 : 0.9974 | date_att: 2018-11-06
loc_id : (84858,) | plant_code : 55279 | R2 : 0.9757 | date_att: 2018-11-06
loc_id : (21509,) | plant_code : 2038 | R2 : 0.7557 | date_att: 2018-11-06
loc_id : (68395,) | plant_code : 2039 | R2 : 0.9686 | date_att: 2018-11-06
loc_id : (28657,) | plant_code : 55295 | R2 : 0.8730 | date_att: 2018-11-06
