insight_date,location_id,plant_code,insight_noms
2017-11-01,84035,10745,225000.0
2017-12-01,84035,10745,985000.0
2018-01-01,84035,10745,737900.0
2018-02-01,84035,10745,105000.0
2018-03-01,84035,10745,1350000.0
2018-04-01,84035,10745,1210000.0
2018-05-01,84035,10745,1550000.0
2014-01-01,31149,10755,0.0
2014-02-01,31149,10755,0.0
2014-03-01,31149,10755,0.0
2014-04-01,31149,10755,0.0
2014-05-01,31149,10755,0.0
2014-06-01,31149,10755,0.0
2014-07-01,31149,10755,46072.0
2014-08-01,31149,10755,8728.0
2014-09-01,31149,10755,18436.0
2014-10-01,31149,10755,0.0
2014-11-01,31149,10755,6779.0
2014-12-01,31149,10755,8062.0
2015-01-01,31149,10755,0.0
2015-02-01,31149,10755,0.0
2015-03-01,31149,10755,0.0
2015-04-01,31149,10755,0.0
2015-05-01,31149,10755,1963.0
2015-06-01,31149,10755,0.0
2015-07-01,31149,10755,0.0
2015-08-01,31149,10755,12268.0
2015-09-01,31149,10755,5634.0
2015-10-01,31149,10755,0.0
2015-11-01,31149,10755,0.0
2015-12-01,31149,10755,0.0
2016-01-01,31149,10755,0.0
2016-02-01,31149,10755,0.0
2016-03-01,31149,10755,0.0
2016-04-01,31149,10755,0.0
2016-05-01,31149,10755,0.0
2016-06-01,31149,10755,0.0
2016-07-01,31149,10755,6230.0
2016-08-01,31149,10755,0.0
2016-09-01,31149,10755,8680.0
2016-10-01,31149,10755,0.0
2016-11-01,31149,10755,0.0
2016-12-01,31149,10755,5919.0
2017-01-01,31149,10755,4000.0
2017-02-01,31149,10755,0.0
2017-03-01,31149,10755,0.0
2017-04-01,31149,10755,0.0
2017-05-01,31149,10755,0.0
2017-06-01,31149,10755,2684.0
2017-07-01,31149,10755,0.0
2017-08-01,31149,10755,0.0
2017-09-01,31149,10755,5906.0
2017-10-01,31149,10755,0.0
2017-11-01,31149,10755,0.0
2017-12-01,31149,10755,0.0
